l (nm),transmission
458,6.800000004599626e-08
459,3.869999999831483e-08
460,5.700000004298465e-08
461,2.3900000002854053e-08
462,5.6099999966910326e-08
463,2.9100000000944262e-08
464,5.140000000055909e-08
465,6.9300000061943675e-09
466,4.2899999981752753e-08
467,9.760000007490527e-09
468,5.6899999948238955e-08
469,1.3799999987250428e-08
470,4.069999997889342e-08
471,2.7949999985684255e-08
472,1.5200000001932906e-08
473,1.9499999983722805e-08
474,3.6899999986485404e-08
475,2.6899999999850836e-08
476,3.349999999715785e-08
477,2.699999999011581e-09
478,2.9000000006747215e-08
479,4.060000003952595e-08
480,1.7099999984559262e-08
481,1.6900000015033368e-09
482,3.0300000034723347e-09
483,2.109999998553672e-08
484,9.350000002744591e-09
485,9.64999999236093e-09
486,2.6299999970341225e-08
487,5.1699999988816716e-08
488,2.769999999588938e-08
489,1.879999998858566e-08
490,1.729999999486948e-08
491,3.7300000016431106e-08
492,1.8499999982832492e-08
493,2.924999997183402e-08
494,3.999999996979354e-08
495,4.6000000033727285e-08
496,5.2000000043727086e-08
497,2.180000001984739e-08
498,3.399999999669196e-08
499,4.1300000032675116e-08
500,1.5099999989806775e-08
501,2.0499999997368214e-08
502,1.5099999989806775e-08
503,1.3100000010383486e-08
504,2.8300000030998744e-08
505,9.409999990742497e-09
506,2.6899999999850836e-08
507,1.979999998807647e-08
508,3.560000000222346e-08
509,2.5699999980395173e-08
510,1.9499999983722805e-08
511,1.4499999992154768e-08
512,8.359999991549121e-10
513,2.2899999982077994e-08
514,2.180000001984739e-08
515,2.699999999011581e-08
516,5.129999998679201e-09
517,1.6299999984838614e-08
518,3.620000003891234e-08
519,2.2000000009006496e-08
520,2.7400000011331862e-08
521,3.2299999975374705e-08
522,2.089999999465563e-08
523,3.560000000222346e-08
524,1.070000000775569e-08
525,3.7800000014167514e-08
526,1.5599999987267617e-08
527,6.550000000123923e-09
528,1.0599999993537645e-08
529,4.920000002635512e-08
530,3.2299999975374773e-09
531,4.8400000039628486e-08
532,1.2599999996589187e-08
533,2.2499999994230524e-08
534,7.229999995096733e-09
535,1.4899999985855497e-08
536,3.649999996163586e-09
537,1.8399999999595945e-08
538,2.0499999997368214e-08
539,1.3199999993743374e-08
540,3.220000002255211e-08
541,3.449999999417914e-08
542,3.139999999470648e-08
543,3.9149999964485804e-08
544,4.69000000307685e-08
545,2.150000000417799e-08
546,7.580000006422004e-09
547,3.1199999998675076e-08
